tasks,graphmarl_lat_ms,graphmarl_lat_std,fair_greedy_lat_ms,fair_greedy_lat_std,latency_speedup_vs_fair,naive_greedy_lat_ms,latency_speedup_vs_naive,graphmarl_miss_pct,fair_greedy_miss_pct,miss_reduction_pct_vs_fair,graphmarl_energy_kj,fair_greedy_energy_kj,energy_reduction_pct_vs_fair,verdict
10,44.88,34.6,75.21,32.2,1.68x,77.58,1.73x,17.5%,10.0%,-75.0%,0.27,0.2,-32.9%,COMPETITIVE
50,42.96,15.41,69.27,19.17,1.61x,615.63,14.33x,11.7%,7.4%,-58.3%,0.37,0.23,-57.3%,COMPETITIVE
80,44.82,14.93,76.31,22.26,1.70x,687.44,15.34x,11.1%,7.7%,-44.1%,0.45,0.26,-74.6%,COMPETITIVE
100,44.29,12.4,76.56,15.95,1.73x,632.04,14.27x,10.6%,7.3%,-44.4%,0.53,0.27,-93.5%,COMPETITIVE
120,46.66,11.45,77.63,18.65,1.66x,563.99,12.09x,10.3%,7.6%,-35.9%,0.55,0.29,-87.7%,COMPETITIVE
150,52.49,13.84,93.38,24.08,1.78x,565.66,10.78x,11.6%,9.3%,-23.8%,0.71,0.33,-117.8%,COMPETITIVE
200,53.83,9.93,109.57,16.38,2.04x,572.28,10.63x,13.0%,11.3%,-14.7%,0.94,0.39,-139.1%,COMPETITIVE
250,64.2,10.21,114.96,12.34,1.79x,684.22,10.66x,14.2%,11.2%,-27.1%,1.12,0.45,-147.4%,COMPETITIVE
300,69.89,13.48,130.36,20.65,1.87x,850.0,12.16x,14.9%,12.9%,-16.0%,1.25,0.53,-136.3%,COMPETITIVE
350,72.57,8.36,144.39,14.62,1.99x,949.36,13.08x,19.0%,13.0%,-46.3%,1.37,0.6,-129.6%,COMPETITIVE
400,75.34,11.61,183.42,18.04,2.43x,1065.41,14.14x,25.5%,16.5%,-54.7%,1.46,0.72,-101.2%,COMPETITIVE
420,75.08,5.72,208.96,36.91,2.78x,1122.48,14.95x,27.0%,19.0%,-42.4%,1.46,0.77,-88.7%,COMPETITIVE
450,71.42,10.46,241.81,25.13,3.39x,1143.78,16.01x,29.5%,20.7%,-42.6%,1.49,0.84,-76.3%,COMPETITIVE
500,70.53,8.09,352.46,41.48,5.00x,1130.15,16.02x,35.8%,30.2%,-18.6%,1.49,0.93,-60.1%,COMPETITIVE
550,69.01,9.28,497.99,51.97,7.22x,1119.05,16.22x,41.4%,44.9%,7.7%,1.51,0.99,-52.0%,GRAPHMARL_WINS
580,65.55,8.94,569.47,51.21,8.69x,1090.06,16.63x,42.6%,51.4%,17.0%,1.5,1.0,-49.3%,GRAPHMARL_WINS
600,69.09,7.66,603.25,75.97,8.73x,1144.83,16.57x,43.1%,53.5%,19.5%,1.51,0.99,-51.9%,GRAPHMARL_WINS
