workload_tasks,policy,avg_latency_mean,avg_latency_std,avg_execution_time_mean,avg_execution_time_std,throughput_mean,throughput_std,completed_mean,completed_std,deadline_misses_mean,deadline_misses_std,deadline_miss_rate_pct_mean,deadline_miss_rate_pct_std,avg_queue_len_mean,avg_queue_len_std,max_queue_len_mean,max_queue_len_std,energy_kj_mean,energy_kj_std,resource_util_pct_mean,resource_util_pct_std,reward_mean,reward_std,p2p_offload_rate_pct_mean,p2p_offload_rate_pct_std,local_exec_rate_pct_mean,local_exec_rate_pct_std,comm_traffic_mb_mean,comm_traffic_mb_std
10,graphmarl,44.884,34.5982,43.2266,34.47,1.75,0.1323,8.75,0.6614,1.75,1.0897,17.5,10.8972,0.0306,0.0116,1.25,0.433,0.2707,0.0429,0.9323,0.7273,-3.3921,4.6605,55.9162,23.9789,44.0838,23.9789,354.6498,212.2852
10,greedy_naive,77.5826,27.8611,77.5826,27.8611,1.6,0.0,8.0,0.0,2.875,0.5995,28.75,5.9948,0.1677,0.0571,1.625,0.4841,0.2463,0.0566,1.5517,0.5572,-35.5156,7.7992,92.5159,3.7416,7.4841,3.7416,219.9764,272.5379
10,greedy_fair,75.2066,32.2027,71.2175,27.8868,2.0,0.0,10.0,0.0,1.0,0.7071,10.0,7.0711,0.0134,0.0025,1.0,0.0,0.2037,0.0045,1.7804,0.6972,1.1199,1.9157,0.0,0.0,100.0,0.0,0.0977,0.0
10,local,75.2066,32.2027,71.2175,27.8868,2.0,0.0,10.0,0.0,1.0,0.7071,10.0,7.0711,0.0134,0.0025,1.0,0.0,0.2037,0.0045,1.7804,0.6972,1.1199,1.9157,0.0,0.0,100.0,0.0,0.0977,0.0
10,expert,75.2066,32.2027,71.2175,27.8868,2.0,0.0,10.0,0.0,1.0,0.7071,10.0,7.0711,0.0134,0.0025,1.0,0.0,0.2037,0.0045,1.7804,0.6972,1.1199,1.9157,0.0,0.0,100.0,0.0,0.0977,0.0
50,graphmarl,42.9552,15.4117,38.5912,14.6392,8.225,1.206,41.125,6.0299,5.125,1.6154,11.676,4.7936,0.0967,0.0235,1.875,0.3307,0.3671,0.0623,3.8069,1.0279,-2.0486,6.649,40.3149,16.5977,59.6851,16.5977,722.764,309.2191
50,greedy_naive,615.6329,96.7469,43.0606,8.1238,6.75,1.4891,33.75,7.4456,24.75,3.5267,54.2917,3.72,0.6948,0.1321,5.125,0.3307,0.5147,0.1222,3.5722,0.8269,-70.0418,11.9075,90.613,0.9899,9.387,0.9899,1502.7045,618.8188
50,greedy_fair,69.2725,19.1729,63.6775,17.0488,9.025,1.0461,45.125,5.2306,3.25,0.9682,7.378,2.6848,0.062,0.0083,1.0,0.0,0.2333,0.0063,6.9824,1.0365,4.0681,3.016,0.0,0.0,100.0,0.0,0.0977,0.0
50,local,69.2725,19.1729,63.6775,17.0488,9.025,1.0461,45.125,5.2306,3.25,0.9682,7.378,2.6848,0.062,0.0083,1.0,0.0,0.2333,0.0063,6.9824,1.0365,4.0681,3.016,0.0,0.0,100.0,0.0,0.0977,0.0
50,expert,69.2725,19.1729,63.6775,17.0488,9.025,1.0461,45.125,5.2306,3.25,0.9682,7.378,2.6848,0.062,0.0083,1.0,0.0,0.2333,0.0063,6.9824,1.0365,4.0681,3.016,0.0,0.0,100.0,0.0,0.0977,0.0
80,graphmarl,44.8158,14.9268,38.7655,12.6294,13.225,1.8559,66.125,9.2795,7.875,3.6207,11.0857,5.8899,0.1542,0.0323,2.375,0.4841,0.4525,0.1257,6.3163,2.0154,0.6347,9.4943,38.6033,17.8344,61.3967,17.8344,1063.5412,652.651
