Workload (Tasks),Avg Latency (ms),Execution Time (ms),Throughput (tasks/s),Completed Tasks,Deadline Misses,Deadline Miss Rate (%),Avg Queue Length,Max Queue Length,Energy Consumption (kJ),Resource Utilization (%),Reward,P2P Offload Rate (%),Local Execution Rate (%),Communication Traffic (MB)
10,44.88 ± 34.60,43.23 ± 34.47,1.75 ± 0.13,8.8 ± 0.7,1.8 ± 1.1,17.5% ± 10.9%,0.03 ± 0.01,1.2 ± 0.4,0.271 ± 0.043,0.9% ± 0.7%,-3.39 ± 4.66,55.9% ± 24.0%,44.1% ± 24.0%,354.6 ± 212.3
50,42.96 ± 15.41,38.59 ± 14.64,8.22 ± 1.21,41.1 ± 6.0,5.1 ± 1.6,11.7% ± 4.8%,0.10 ± 0.02,1.9 ± 0.3,0.367 ± 0.062,3.8% ± 1.0%,-2.05 ± 6.65,40.3% ± 16.6%,59.7% ± 16.6%,722.8 ± 309.2
80,44.82 ± 14.93,38.77 ± 12.63,13.23 ± 1.86,66.1 ± 9.3,7.9 ± 3.6,11.1% ± 5.9%,0.15 ± 0.03,2.4 ± 0.5,0.453 ± 0.126,6.3% ± 2.0%,0.63 ± 9.49,38.6% ± 17.8%,61.4% ± 17.8%,1063.5 ± 652.7
100,44.29 ± 12.40,37.22 ± 10.44,16.98 ± 1.62,84.9 ± 8.1,9.9 ± 3.6,10.6% ± 4.3%,0.21 ± 0.04,2.4 ± 0.5,0.529 ± 0.126,7.9% ± 2.3%,0.87 ± 9.79,41.4% ± 14.6%,58.6% ± 14.6%,1394.6 ± 645.3
120,46.66 ± 11.45,37.79 ± 9.67,20.57 ± 2.11,102.9 ± 10.5,11.5 ± 4.9,10.3% ± 4.9%,0.24 ± 0.05,2.5 ± 0.7,0.549 ± 0.145,9.7% ± 2.4%,4.69 ± 11.96,35.5% ± 16.5%,64.5% ± 16.5%,1415.0 ± 760.8
150,52.49 ± 13.84,38.89 ± 10.62,25.25 ± 2.03,126.2 ± 10.1,16.4 ± 4.7,11.6% ± 3.6%,0.35 ± 0.05,3.1 ± 0.3,0.713 ± 0.163,12.2% ± 3.3%,1.70 ± 10.28,44.4% ± 9.3%,55.6% ± 9.3%,2165.9 ± 827.3
200,53.83 ± 9.93,35.25 ± 7.58,33.92 ± 2.04,169.6 ± 10.2,25.4 ± 5.6,13.0% ± 2.9%,0.56 ± 0.11,4.8 ± 1.4,0.939 ± 0.105,15.0% ± 3.7%,9.84 ± 6.33,46.7% ± 6.8%,53.3% ± 6.8%,3174.9 ± 547.2
250,64.20 ± 10.21,33.64 ± 8.41,42.03 ± 3.43,210.1 ± 17.2,34.8 ± 7.3,14.2% ± 3.2%,0.85 ± 0.16,6.2 ± 1.1,1.116 ± 0.203,17.9% ± 5.8%,18.42 ± 6.40,46.9% ± 9.6%,53.1% ± 9.6%,3950.0 ± 1091.5
300,69.89 ± 13.48,31.64 ± 6.40,48.80 ± 3.53,244.0 ± 17.6,43.8 ± 8.1,14.9% ± 2.9%,1.19 ± 0.23,8.8 ± 2.6,1.249 ± 0.170,19.4% ± 4.8%,29.78 ± 9.19,46.7% ± 6.6%,53.3% ± 6.6%,4531.5 ± 890.4
350,72.57 ± 8.36,31.32 ± 6.30,53.22 ± 5.67,266.1 ± 28.4,64.8 ± 16.0,19.0% ± 5.1%,1.94 ± 0.57,15.2 ± 5.4,1.370 ± 0.164,21.0% ± 5.8%,32.34 ± 10.59,49.7% ± 7.4%,50.3% ± 7.4%,5084.6 ± 894.0
400,75.34 ± 11.61,28.42 ± 4.86,54.75 ± 6.57,273.8 ± 32.9,100.1 ± 27.1,25.5% ± 7.1%,3.60 ± 1.47,33.5 ± 16.2,1.456 ± 0.139,19.7% ± 5.5%,28.98 ± 13.54,52.9% ± 6.5%,47.1% ± 6.5%,5534.8 ± 647.2
420,75.08 ± 5.72,29.03 ± 4.74,55.88 ± 7.62,279.4 ± 38.1,111.9 ± 31.5,27.0% ± 7.8%,4.11 ± 1.62,33.9 ± 13.8,1.457 ± 0.100,20.6% ± 5.9%,30.88 ± 15.71,52.9% ± 7.7%,47.1% ± 7.7%,5506.2 ± 541.3
450,71.42 ± 10.46,27.88 ± 4.98,59.02 ± 6.40,295.1 ± 32.0,131.5 ± 24.4,29.5% ± 5.7%,5.00 ± 1.45,45.5 ± 12.2,1.487 ± 0.155,20.9% ± 5.7%,27.55 ± 11.47,51.6% ± 6.2%,48.4% ± 6.2%,5651.7 ± 848.3
500,70.53 ± 8.09,27.26 ± 4.54,58.30 ± 5.15,291.5 ± 25.8,177.9 ± 20.6,35.8% ± 4.2%,7.28 ± 1.30,64.8 ± 10.9,1.494 ± 0.134,20.0% ± 4.2%,20.02 ± 14.31,55.5% ± 4.2%,44.5% ± 4.2%,5703.9 ± 744.1
550,69.01 ± 9.28,25.79 ± 3.88,58.12 ± 4.85,290.6 ± 24.2,227.9 ± 19.0,41.4% ± 3.5%,10.43 ± 1.37,82.9 ± 13.4,1.511 ± 0.109,18.9% ± 4.2%,11.17 ± 12.66,57.8% ± 4.0%,42.2% ± 4.0%,5831.1 ± 598.1
580,65.55 ± 8.94,25.81 ± 3.59,59.12 ± 4.71,295.6 ± 23.5,246.9 ± 19.7,42.6% ± 3.5%,11.66 ± 1.42,89.6 ± 9.3,1.497 ± 0.102,19.2% ± 4.2%,8.56 ± 8.46,57.9% ± 3.7%,42.1% ± 3.7%,5736.2 ± 547.3
600,69.09 ± 7.66,25.92 ± 3.13,61.12 ± 3.56,305.6 ± 17.8,258.0 ± 15.2,43.1% ± 2.6%,12.18 ± 1.07,92.8 ± 6.5,1.510 ± 0.064,19.8% ± 2.6%,8.30 ± 11.13,57.1% ± 2.6%,42.9% ± 2.6%,5783.8 ± 340.5
